Drug Name,PT Name,A,AB,AC,ABCD
NEXLETOL,MALAISE,8,527,392060,29153222
NEXLETOL,MUSCULAR WEAKNESS,8,527,99534,29153222
NEXLETOL,VOMITING,8,527,402614,29153222
NEXLETOL,BLOOD PRESSURE INCREASED,7,527,134831,29153222
NEXLETOL,BLOOD UREA INCREASED,7,527,15377,29153222
NEXLETOL,FALL,7,527,289979,29153222
NEXLETOL,PARAESTHESIA,7,527,140964,29153222
NEXLETOL,ALANINE AMINOTRANSFERASE INCREASED,6,527,54493,29153222
NEXLETOL,BLOOD GLUCOSE INCREASED,6,527,169911,29153222
NEXLETOL,COUGH,6,527,238533,29153222
NEXLETOL,GASTROINTESTINAL DISORDER,6,527,69557,29153222
NEXLETOL,HYPERTENSION,6,527,184603,29153222
NEXLETOL,INFLUENZA LIKE ILLNESS,6,527,74817,29153222
NEXLETOL,ABDOMINAL PAIN,5,527,201238,29153222
NEXLETOL,ANAEMIA,5,527,168582,29153222
NEXLETOL,ASPARTATE AMINOTRANSFERASE INCREASED,5,527,47155,29153222
NEXLETOL,ATRIAL FIBRILLATION,5,527,85568,29153222
NEXLETOL,BURNING SENSATION,5,527,62179,29153222
NEXLETOL,CHEST PAIN,5,527,165325,29153222
NEXLETOL,CONSTIPATION,5,527,180549,29153222
NEXLETOL,DEATH,5,527,747958,29153222
NEXLETOL,FLATULENCE,5,527,48633,29153222
NEXLETOL,HYPOAESTHESIA,5,527,132142,29153222
NEXLETOL,INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,5,527,128252,29153222
NEXLETOL,OEDEMA PERIPHERAL,5,527,111086,29153222
NEXLETOL,ROTATOR CUFF SYNDROME,5,527,11537,29153222
NEXLETOL,TENDON DISORDER,5,527,5827,29153222
NEXLETOL,TENDON PAIN,5,527,6765,29153222
NEXLETOL,THERAPEUTIC RESPONSE UNEXPECTED,5,527,40452,29153222
NEXLETOL,WEIGHT DECREASED,5,527,243586,29153222
NEXLETOL,ADVERSE DRUG REACTION,4,527,72761,29153222
NEXLETOL,ALOPECIA,4,527,174525,29153222
NEXLETOL,BLOOD PRESSURE DECREASED,4,527,58143,29153222
NEXLETOL,BRONCHITIS,4,527,66685,29153222
NEXLETOL,DRUG DOSE OMISSION BY DEVICE,4,527,49205,29153222
NEXLETOL,ERYTHEMA,4,527,179136,29153222
NEXLETOL,JOINT SWELLING,4,527,103047,29153222
NEXLETOL,LOW DENSITY LIPOPROTEIN ABNORMAL,4,527,478,29153222
NEXLETOL,MOBILITY DECREASED,4,527,61674,29153222
NEXLETOL,NEUROPATHY PERIPHERAL,4,527,78639,29153222
NEXLETOL,OROPHARYNGEAL PAIN,4,527,80432,29153222
NEXLETOL,PALPITATIONS,4,527,102393,29153222
NEXLETOL,PANCREATITIS,4,527,46489,29153222
NEXLETOL,PRODUCT USE IN UNAPPROVED INDICATION,4,527,187105,29153222
NEXLETOL,PRODUCT USE ISSUE,4,527,155065,29153222
NEXLETOL,THERAPY INTERRUPTED,4,527,44995,29153222
NEXLETOL,URTICARIA,4,527,139718,29153222
NEXLETOL,WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,4,527,169717,29153222
NEXLETOL,ACUTE KIDNEY INJURY,3,527,128474,29153222
NEXLETOL,BALANCE DISORDER,3,527,77144,29153222
NEXLETOL,CONTUSION,3,527,83267,29153222
NEXLETOL,COVID-19,3,527,150251,29153222
NEXLETOL,DEHYDRATION,3,527,117824,29153222
NEXLETOL,DEVICE DIFFICULT TO USE,3,527,51812,29153222
NEXLETOL,DISTURBANCE IN ATTENTION,3,527,48942,29153222
NEXLETOL,DRUG EFFECT LESS THAN EXPECTED,3,527,7442,29153222
NEXLETOL,DRUG INTERACTION,3,527,140234,29153222
NEXLETOL,GAIT INABILITY,3,527,25648,29153222
NEXLETOL,GASTROOESOPHAGEAL REFLUX DISEASE,3,527,68809,29153222
NEXLETOL,GLOMERULAR FILTRATION RATE DECREASED,3,527,9654,29153222
NEXLETOL,HEPATIC STEATOSIS,3,527,16121,29153222
NEXLETOL,HIGH DENSITY LIPOPROTEIN DECREASED,3,527,3021,29153222
NEXLETOL,HYPERURICAEMIA,3,527,3562,29153222
NEXLETOL,HYPOTENSION,3,527,175485,29153222
NEXLETOL,INFLAMMATION,3,527,42551,29153222
NEXLETOL,JOINT NOISE,3,527,1546,29153222
NEXLETOL,JOINT STIFFNESS,3,527,22975,29153222
NEXLETOL,LIGAMENT SPRAIN,3,527,8430,29153222
NEXLETOL,LIVER FUNCTION TEST INCREASED,3,527,16824,29153222
NEXLETOL,MOVEMENT DISORDER,3,527,28737,29153222
NEXLETOL,MUSCLE RUPTURE,3,527,3340,29153222
NEXLETOL,PAIN IN JAW,3,527,25500,29153222
NEXLETOL,PRODUCT PHYSICAL ISSUE,3,527,16367,29153222
NEXLETOL,PYREXIA,3,527,303338,29153222
NEXLETOL,RENAL IMPAIRMENT,3,527,71586,29153222
NEXLETOL,SWELLING,3,527,80439,29153222
NEXLETOL,SWOLLEN TONGUE,3,527,27832,29153222
NEXLETOL,TENDERNESS,3,527,9399,29153222
NEXLETOL,THERAPY CESSATION,3,527,43285,29153222
NEXLETOL,VISION BLURRED,3,527,117576,29153222
NEXLETOL,VISUAL IMPAIRMENT,3,527,103619,29153222
NEXLETOL,AMNESIA,2,527,58711,29153222
NEXLETOL,ANXIETY,2,527,254171,29153222
NEXLETOL,ARTHROPATHY,2,527,48936,29153222
NEXLETOL,BILIARY COLIC,2,527,2333,29153222
NEXLETOL,BLOOD CHOLESTEROL ABNORMAL,2,527,4041,29153222
NEXLETOL,BLOOD TEST ABNORMAL,2,527,11934,29153222
NEXLETOL,BLOOD THYROID STIMULATING HORMONE INCREASED,2,527,8188,29153222
NEXLETOL,BONE PAIN,2,527,51709,29153222
NEXLETOL,CHEST DISCOMFORT,2,527,87243,29153222
NEXLETOL,CHRONIC KIDNEY DISEASE,2,527,71553,29153222
NEXLETOL,CONFUSIONAL STATE,2,527,142827,29153222
NEXLETOL,CYTOPENIA,2,527,8942,29153222
NEXLETOL,DERMATITIS,2,527,16500,29153222
NEXLETOL,DISABILITY,2,527,17172,29153222
NEXLETOL,DISEASE PROGRESSION,2,527,100186,29153222
NEXLETOL,DRY MOUTH,2,527,69536,29153222
NEXLETOL,DYSGEUSIA,2,527,68275,29153222
NEXLETOL,DYSPEPSIA,2,527,83874,29153222
NEXLETOL,EYE PAIN,2,527,44342,29153222
NEXLETOL,EYE SWELLING,2,527,31713,29153222
NEXLETOL,HAEMATOMA,2,527,23519,29153222
NEXLETOL,HAEMOGLOBIN DECREASED,2,527,91754,29153222
NEXLETOL,HYPERSENSITIVITY,2,527,161630,29153222
NEXLETOL,IMPAIRED WORK ABILITY,2,527,19425,29153222
NEXLETOL,INFECTION,2,527,121543,29153222
NEXLETOL,INJECTION SITE PAIN,2,527,246278,29153222
NEXLETOL,IRRITABILITY,2,527,54231,29153222
NEXLETOL,LABORATORY TEST ABNORMAL,2,527,25742,29153222
NEXLETOL,LETHARGY,2,527,51073,29153222
NEXLETOL,LIGAMENT RUPTURE,2,527,3924,29153222
NEXLETOL,LIP SWELLING,2,527,29058,29153222
NEXLETOL,MENISCUS INJURY,2,527,5413,29153222
NEXLETOL,MUSCLE DISORDER,2,527,7386,29153222
NEXLETOL,MUSCLE TIGHTNESS,2,527,14430,29153222
NEXLETOL,NASOPHARYNGITIS,2,527,156854,29153222
NEXLETOL,NEOPLASM SKIN,2,527,1362,29153222
NEXLETOL,NEPHROLITHIASIS,2,527,38737,29153222
NEXLETOL,NEPHROTIC SYNDROME,2,527,5901,29153222
NEXLETOL,NEURALGIA,2,527,20756,29153222
NEXLETOL,POLLAKIURIA,2,527,36294,29153222
NEXLETOL,PRODUCT LEAKAGE,2,527,3743,29153222
NEXLETOL,PRODUCT ODOUR ABNORMAL,2,527,8456,29153222
NEXLETOL,PRODUCT STORAGE ERROR,2,527,62179,29153222
NEXLETOL,PROSTATITIS,2,527,2728,29153222
NEXLETOL,PSORIASIS,2,527,115779,29153222
NEXLETOL,RENAL DISORDER,2,527,41091,29153222
NEXLETOL,RHABDOMYOLYSIS,2,527,36342,29153222
NEXLETOL,RHINITIS,2,527,6919,29153222
NEXLETOL,SINUSITIS,2,527,89566,29153222
NEXLETOL,SKIN DISCOLOURATION,2,527,40361,29153222
NEXLETOL,SLEEP DISORDER,2,527,58716,29153222
NEXLETOL,SNEEZING,2,527,19033,29153222
NEXLETOL,SOMNOLENCE,2,527,175915,29153222
NEXLETOL,TACHYCARDIA,2,527,77540,29153222
NEXLETOL,TENDON INJURY,2,527,3380,29153222
NEXLETOL,THROAT TIGHTNESS,2,527,23641,29153222
NEXLETOL,TINNITUS,2,527,40321,29153222
NEXLETOL,TOOTH INFECTION,2,527,11483,29153222
NEXLETOL,TREMOR,2,527,147938,29153222
NEXLETOL,UPPER RESPIRATORY TRACT INFECTION,2,527,39773,29153222
NEXLETOL,WEIGHT BEARING DIFFICULTY,2,527,2414,29153222
NEXLETOL,WHEEZING,2,527,48287,29153222
NEXLETOL,ABDOMINAL DISTENSION,1,527,88827,29153222
NEXLETOL,ABNORMAL DREAMS,1,527,25474,29153222
NEXLETOL,ACNE PUSTULAR,1,527,711,29153222
NEXLETOL,ADMINISTRATION SITE BRUISE,1,527,273,29153222
NEXLETOL,ADMINISTRATION SITE SWELLING,1,527,283,29153222
NEXLETOL,ADVERSE EVENT,1,527,80655,29153222
NEXLETOL,AGGRESSION,1,527,45096,29153222
NEXLETOL,ALLERGIC REACTION TO EXCIPIENT,1,527,1532,29153222
NEXLETOL,AMYLASE INCREASED,1,527,3123,29153222
NEXLETOL,ANAEMIA OF CHRONIC DISEASE,1,527,841,29153222
NEXLETOL,ANGER,1,527,30815,29153222
NEXLETOL,ANGIOEDEMA,1,527,38275,29153222
NEXLETOL,ANTERIOR CHAMBER CELL,1,527,599,29153222
NEXLETOL,ARTERIAL DISORDER,1,527,1750,29153222
NEXLETOL,ARTERIAL OCCLUSIVE DISEASE,1,527,7080,29153222
NEXLETOL,ARTERIOSCLEROSIS CORONARY ARTERY,1,527,5843,29153222
NEXLETOL,ASTHMA,1,527,89250,29153222
NEXLETOL,BACK DISORDER,1,527,14360,29153222
NEXLETOL,BLEPHAROSPASM,1,527,4499,29153222
NEXLETOL,BLINDNESS,1,527,34768,29153222
NEXLETOL,BLINDNESS TRANSIENT,1,527,6379,29153222
NEXLETOL,BLOOD BILIRUBIN ABNORMAL,1,527,1063,29153222
NEXLETOL,BLOOD INSULIN DECREASED,1,527,129,29153222
NEXLETOL,BLOOD OESTROGEN DECREASED,1,527,590,29153222
NEXLETOL,BLOOD PRESSURE FLUCTUATION,1,527,21681,29153222
NEXLETOL,BLOOD TRIGLYCERIDES DECREASED,1,527,299,29153222
NEXLETOL,BLOOD URINE PRESENT,1,527,17024,29153222
NEXLETOL,BODY TEMPERATURE INCREASED,1,527,18503,29153222
NEXLETOL,BRAIN FOG,1,527,5290,29153222
NEXLETOL,BREAST CANCER,1,527,89102,29153222
NEXLETOL,BURSITIS,1,527,9445,29153222
NEXLETOL,CARDIAC DISORDER,1,527,84307,29153222
NEXLETOL,CARDIAC FLUTTER,1,527,5628,29153222
NEXLETOL,CARDIAC OPERATION,1,527,7107,29153222
NEXLETOL,CARDIOVASCULAR DISORDER,1,527,23868,29153222
NEXLETOL,CARPAL TUNNEL DECOMPRESSION,1,527,893,29153222
NEXLETOL,CARPAL TUNNEL SYNDROME,1,527,12326,29153222
NEXLETOL,CELLULITIS GANGRENOUS,1,527,183,29153222
NEXLETOL,CEREBROSPINAL FLUID LEAKAGE,1,527,1553,29153222
NEXLETOL,CEREBROVASCULAR ACCIDENT,1,527,153533,29153222
NEXLETOL,CHANGE OF BOWEL HABIT,1,527,1844,29153222
NEXLETOL,CHOKING,1,527,16681,29153222
NEXLETOL,CHOLELITHIASIS,1,527,28722,29153222
NEXLETOL,CHROMATURIA,1,527,20072,29153222
NEXLETOL,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,1,527,45537,29153222
NEXLETOL,CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,1,527,27212,29153222
NEXLETOL,COGNITIVE DISORDER,1,527,40379,29153222
NEXLETOL,COLITIS,1,527,30767,29153222
NEXLETOL,COMPUTERISED TOMOGRAM HEART ABNORMAL,1,527,35,29153222
NEXLETOL,CORNEAL OEDEMA,1,527,1981,29153222
NEXLETOL,CREPITATIONS,1,527,2765,29153222
NEXLETOL,DEAFNESS UNILATERAL,1,527,4765,29153222
NEXLETOL,DECREASED ACTIVITY,1,527,9128,29153222
NEXLETOL,DECREASED APPETITE,1,527,197054,29153222
NEXLETOL,DEEP VEIN THROMBOSIS,1,527,59893,29153222
NEXLETOL,DERMATITIS ATOPIC,1,527,19518,29153222
NEXLETOL,DEVICE ISSUE,1,527,68868,29153222
NEXLETOL,DEVICE USE ERROR,1,527,28333,29153222
NEXLETOL,DISCOMFORT,1,527,49538,29153222
NEXLETOL,DISEASE RECURRENCE,1,527,40693,29153222
NEXLETOL,DISORIENTATION,1,527,35904,29153222
NEXLETOL,DIZZINESS POSTURAL,1,527,7814,29153222
NEXLETOL,DRUG HYPERSENSITIVITY,1,527,174189,29153222
NEXLETOL,DRY EYE,1,527,36643,29153222
NEXLETOL,DUODENAL ULCER,1,527,6206,29153222
NEXLETOL,DYSARTHRIA,1,527,33390,29153222
NEXLETOL,DYSKINESIA,1,527,35732,29153222
NEXLETOL,DYSPHAGIA,1,527,81718,29153222
NEXLETOL,DYSPHEMIA,1,527,3920,29153222
NEXLETOL,DYSPHONIA,1,527,50687,29153222
NEXLETOL,DYSSTASIA,1,527,26214,29153222
NEXLETOL,ENANTHEMA,1,527,493,29153222
NEXLETOL,EPIGASTRIC DISCOMFORT,1,527,3480,29153222
NEXLETOL,EPISTAXIS,1,527,65988,29153222
NEXLETOL,EYE HAEMORRHAGE,1,527,11990,29153222
NEXLETOL,EYE IRRITATION,1,527,42896,29153222
NEXLETOL,EYE MOVEMENT DISORDER,1,527,6038,29153222
NEXLETOL,EYELID RASH,1,527,670,29153222
NEXLETOL,FEELING HOT,1,527,54466,29153222
NEXLETOL,FLUID INTAKE REDUCED,1,527,4133,29153222
NEXLETOL,FOOT DEFORMITY,1,527,9605,29153222
NEXLETOL,FOOT FRACTURE,1,527,16873,29153222
NEXLETOL,GASTRIC DISORDER,1,527,34580,29153222
NEXLETOL,GASTRIC INFECTION,1,527,3308,29153222
NEXLETOL,GASTRIC POLYPS,1,527,1969,29153222
NEXLETOL,GASTRITIS,1,527,23171,29153222
NEXLETOL,GASTROINTESTINAL HYPOMOTILITY,1,527,1277,29153222
NEXLETOL,GASTROINTESTINAL INFECTION,1,527,7557,29153222
NEXLETOL,GASTROINTESTINAL PAIN,1,527,9236,29153222
NEXLETOL,GENERAL PHYSICAL CONDITION ABNORMAL,1,527,5975,29153222
NEXLETOL,GENERAL PHYSICAL HEALTH DETERIORATION,1,527,93369,29153222
NEXLETOL,GROIN PAIN,1,527,7837,29153222
NEXLETOL,HAEMATOCRIT DECREASED,1,527,18306,29153222
NEXLETOL,HAEMATURIA,1,527,30922,29153222
NEXLETOL,HAEMORRHAGE,1,527,89324,29153222
NEXLETOL,HAEMORRHAGE URINARY TRACT,1,527,2258,29153222
NEXLETOL,HANGOVER,1,527,3212,29153222
NEXLETOL,HEAD INJURY,1,527,27285,29153222
NEXLETOL,HEPATIC LESION,1,527,3699,29153222
NEXLETOL,HEPATITIS C,1,527,11611,29153222
NEXLETOL,HERPES SIMPLEX,1,527,5482,29153222
NEXLETOL,HIGH DENSITY LIPOPROTEIN ABNORMAL,1,527,197,29153222
NEXLETOL,HIGH DENSITY LIPOPROTEIN INCREASED,1,527,857,29153222
NEXLETOL,HIP ARTHROPLASTY,1,527,12481,29153222
NEXLETOL,HODGKIN^S DISEASE,1,527,2690,29153222
NEXLETOL,HOT FLUSH,1,527,61427,29153222
NEXLETOL,HUMERUS FRACTURE,1,527,4313,29153222
NEXLETOL,HUNGER,1,527,9651,29153222
NEXLETOL,HYPERAESTHESIA,1,527,7643,29153222
NEXLETOL,HYPERCHOLESTEROLAEMIA,1,527,7377,29153222
NEXLETOL,HYPERHIDROSIS,1,527,114939,29153222
NEXLETOL,HYPERVIGILANCE,1,527,856,29153222
NEXLETOL,HYPOAESTHESIA ORAL,1,527,13312,29153222
NEXLETOL,ILL-DEFINED DISORDER,1,527,52557,29153222
NEXLETOL,IMPAIRED QUALITY OF LIFE,1,527,11304,29153222
NEXLETOL,INABILITY TO AFFORD MEDICATION,1,527,7160,29153222
NEXLETOL,INDURATION,1,527,1611,29153222
NEXLETOL,INFLUENZA,1,527,91875,29153222
NEXLETOL,INFUSION RELATED REACTION,1,527,53831,29153222
NEXLETOL,INFUSION SITE ERYTHEMA,1,527,6199,29153222
NEXLETOL,INFUSION SITE IRRITATION,1,527,936,29153222
NEXLETOL,INFUSION SITE PRURITUS,1,527,2285,29153222
NEXLETOL,INFUSION SITE URTICARIA,1,527,487,29153222
NEXLETOL,INJURY,1,527,64703,29153222
NEXLETOL,INTENTIONAL PRODUCT MISUSE,1,527,75581,29153222
NEXLETOL,INTERCEPTED PRODUCT DISPENSING ERROR,1,527,898,29153222
NEXLETOL,INTERVERTEBRAL DISC DEGENERATION,1,527,8554,29153222
NEXLETOL,INTERVERTEBRAL DISC DISORDER,1,527,3900,29153222
NEXLETOL,IRRITABLE BOWEL SYNDROME,1,527,17269,29153222
NEXLETOL,JOINT INJURY,1,527,18659,29153222
NEXLETOL,KIDNEY INFECTION,1,527,17051,29153222
NEXLETOL,KNEE ARTHROPLASTY,1,527,16921,29153222
NEXLETOL,LACRIMATION INCREASED,1,527,24526,29153222
NEXLETOL,LIGAMENT LAXITY,1,527,143,29153222
NEXLETOL,LIMB DISCOMFORT,1,527,27195,29153222
NEXLETOL,LIPASE INCREASED,1,527,6740,29153222
NEXLETOL,LIPIDS INCREASED,1,527,1655,29153222
NEXLETOL,LIVER DISORDER,1,527,38112,29153222
NEXLETOL,LIVER OPERATION,1,527,231,29153222
NEXLETOL,LOSS OF CONSCIOUSNESS,1,527,113026,29153222
NEXLETOL,LOSS OF THERAPEUTIC RESPONSE,1,527,1669,29153222
NEXLETOL,LOW DENSITY LIPOPROTEIN DECREASED,1,527,1197,29153222
NEXLETOL,LOWER RESPIRATORY TRACT INFECTION,1,527,36576,29153222
NEXLETOL,LUMBAR SPINAL STENOSIS,1,527,2645,29153222
NEXLETOL,LUPUS-LIKE SYNDROME,1,527,7501,29153222
NEXLETOL,LYMPHOEDEMA,1,527,5888,29153222
NEXLETOL,MACULAR DEGENERATION,1,527,10137,29153222
NEXLETOL,MEDICAL DEVICE SITE BRUISE,1,527,62,29153222
NEXLETOL,MEMORY IMPAIRMENT,1,527,121428,29153222
NEXLETOL,MICTURITION URGENCY,1,527,9721,29153222
NEXLETOL,MIDDLE INSOMNIA,1,527,15930,29153222
NEXLETOL,MIGRAINE,1,527,80281,29153222
NEXLETOL,MONOPLEGIA,1,527,3874,29153222
NEXLETOL,MULTIPLE SCLEROSIS,1,527,43199,29153222
NEXLETOL,MUSCLE INJURY,1,527,5696,29153222
NEXLETOL,MUSCULOSKELETAL CHEST PAIN,1,527,13540,29153222
NEXLETOL,MUSCULOSKELETAL DISCOMFORT,1,527,15014,29153222
NEXLETOL,MUSCULOSKELETAL STIFFNESS,1,527,77064,29153222
NEXLETOL,MYOCARDIAL INFARCTION,1,527,164413,29153222
NEXLETOL,NAIL DISORDER,1,527,6891,29153222
NEXLETOL,NASAL CRUSTING,1,527,506,29153222
NEXLETOL,NASAL DISCOMFORT,1,527,7158,29153222
NEXLETOL,NERVOUSNESS,1,527,48298,29153222
NEXLETOL,NIGHT SWEATS,1,527,27012,29153222
NEXLETOL,NO ADVERSE EVENT,1,527,137120,29153222
NEXLETOL,OCULAR DISCOMFORT,1,527,8109,29153222
NEXLETOL,OESOPHAGEAL IRRITATION,1,527,493,29153222
NEXLETOL,OESOPHAGEAL SPASM,1,527,1656,29153222
NEXLETOL,ORAL DISCOMFORT,1,527,12365,29153222
NEXLETOL,ORAL HERPES,1,527,16303,29153222
NEXLETOL,ORAL MUCOSAL ERUPTION,1,527,1314,29153222
NEXLETOL,OROPHARYNGEAL DISCOMFORT,1,527,6844,29153222
NEXLETOL,PALATAL SWELLING,1,527,197,29153222
NEXLETOL,PANCREATIC DISORDER,1,527,4059,29153222
NEXLETOL,PANIC ATTACK,1,527,32110,29153222
NEXLETOL,PARANASAL SINUS HYPERSECRETION,1,527,3551,29153222
NEXLETOL,PERIPHERAL ARTERY OCCLUSION,1,527,1185,29153222
NEXLETOL,PERIPHERAL COLDNESS,1,527,12146,29153222
NEXLETOL,PERIPHERAL VENOUS DISEASE,1,527,2405,29153222
NEXLETOL,PHARYNGEAL PERFORATION,1,527,10,29153222
NEXLETOL,PHARYNGEAL SWELLING,1,527,7165,29153222
NEXLETOL,PLATELET COUNT INCREASED,1,527,11496,29153222
NEXLETOL,PNEUMONIA,1,527,275686,29153222
NEXLETOL,POOR QUALITY PRODUCT ADMINISTERED,1,527,6893,29153222
NEXLETOL,POOR QUALITY SLEEP,1,527,18173,29153222
NEXLETOL,PRESCRIBED UNDERDOSE,1,527,16907,29153222
NEXLETOL,PRODUCT COMPLAINT,1,527,18595,29153222
NEXLETOL,PRODUCT DISPENSING ISSUE,1,527,1509,29153222
NEXLETOL,PRODUCT DOSE OMISSION IN ERROR,1,527,14667,29153222
NEXLETOL,PRODUCT IMPURITY,1,527,222,29153222
NEXLETOL,PRODUCT PRESCRIBING ISSUE,1,527,11011,29153222
NEXLETOL,PRODUCT SOLUBILITY ABNORMAL,1,527,4176,29153222
NEXLETOL,PRODUCT TASTE ABNORMAL,1,527,11434,29153222
NEXLETOL,PRODUCT USE COMPLAINT,1,527,10928,29153222
NEXLETOL,PROTEIN URINE PRESENT,1,527,4342,29153222
NEXLETOL,PSORIATIC ARTHROPATHY,1,527,31362,29153222
NEXLETOL,PSYCHOMOTOR HYPERACTIVITY,1,527,15195,29153222
NEXLETOL,PUNCTATE KERATITIS,1,527,736,29153222
NEXLETOL,RASH ERYTHEMATOUS,1,527,37062,29153222
NEXLETOL,RASH MACULAR,1,527,29339,29153222
NEXLETOL,RASH PRURITIC,1,527,45533,29153222
NEXLETOL,READING DISORDER,1,527,2040,29153222
NEXLETOL,RESTLESS LEGS SYNDROME,1,527,16237,29153222
NEXLETOL,RETINAL TEAR,1,527,2070,29153222
NEXLETOL,RHEUMATOID ARTHRITIS,1,527,97187,29153222
NEXLETOL,RHINALGIA,1,527,2185,29153222
NEXLETOL,ROSACEA,1,527,3915,29153222
NEXLETOL,SEASONAL ALLERGY,1,527,11387,29153222
NEXLETOL,SECRETION DISCHARGE,1,527,9950,29153222
NEXLETOL,SENSORY DISTURBANCE,1,527,14803,29153222
NEXLETOL,SERUM FERRITIN INCREASED,1,527,4556,29153222
NEXLETOL,SHOULDER OPERATION,1,527,3240,29153222
NEXLETOL,SINUS CONGESTION,1,527,11862,29153222
NEXLETOL,SINUS DISORDER,1,527,17244,29153222
NEXLETOL,SINUS OPERATION,1,527,1998,29153222
NEXLETOL,SINUS PAIN,1,527,1911,29153222
NEXLETOL,SKELETAL INJURY,1,527,10031,29153222
NEXLETOL,SKIN REACTION,1,527,12018,29153222
NEXLETOL,SKIN SWELLING,1,527,6285,29153222
NEXLETOL,SKIN TEXTURE ABNORMAL,1,527,724,29153222
NEXLETOL,SLUGGISHNESS,1,527,8985,29153222
NEXLETOL,SOFT TISSUE DISORDER,1,527,1046,29153222
NEXLETOL,SPINAL CORD OPERATION,1,527,157,29153222
NEXLETOL,SPONDYLITIS,1,527,2996,29153222
NEXLETOL,STRESS,1,527,61643,29153222
NEXLETOL,SYNOVIAL CYST,1,527,4213,29153222
NEXLETOL,SYSTEMIC LUPUS ERYTHEMATOSUS,1,527,27187,29153222
NEXLETOL,TASTE DISORDER,1,527,14469,29153222
NEXLETOL,TEMPOROMANDIBULAR JOINT SYNDROME,1,527,2708,29153222
NEXLETOL,TENDONITIS,1,527,14069,29153222
NEXLETOL,THERAPEUTIC PRODUCT EFFECT DECREASED,1,527,35600,29153222
NEXLETOL,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,1,527,57553,29153222
NEXLETOL,THERAPEUTIC RESPONSE DECREASED,1,527,51080,29153222
NEXLETOL,THERAPY CHANGE,1,527,7228,29153222
NEXLETOL,THERAPY NON-RESPONDER,1,527,34487,29153222
NEXLETOL,THERMAL BURN,1,527,6373,29153222
NEXLETOL,THROAT IRRITATION,1,527,38209,29153222
NEXLETOL,TOOTHACHE,1,527,15827,29153222
NEXLETOL,TOTAL CHOLESTEROL/HDL RATIO ABNORMAL,1,527,42,29153222
NEXLETOL,TRANSAMINASES INCREASED,1,527,19554,29153222
NEXLETOL,TREATMENT NONCOMPLIANCE,1,527,44274,29153222
NEXLETOL,UPPER LIMB FRACTURE,1,527,18036,29153222
NEXLETOL,URINARY INCONTINENCE,1,527,26198,29153222
NEXLETOL,URINARY TRACT INFECTION,1,527,145706,29153222
NEXLETOL,URINE ABNORMALITY,1,527,3804,29153222
NEXLETOL,VAGINAL INFECTION,1,527,4066,29153222
NEXLETOL,VASCULAR GRAFT,1,527,2618,29153222
NEXLETOL,VEIN DISORDER,1,527,4573,29153222
NEXLETOL,VITREOUS FLOATERS,1,527,8041,29153222
